HYBAS_ID,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,PFAF_ID,SIDE,LAKE,ENDO,COAST,ORDER,SORT,t_lag_h,D_test_h,cen_x,cen_y,arf,thr_pt,thr_mm
2070000660,0,2070000660,2070000660,0.0,0.0,2177.5,2177.5,2110176,M,0,0,0,1,20,16.69808285378625,12.0,35.72494272042694,33.57542546590172,0.9426874552698911,44.38629736351804,41.842405710467496
2070000670,0,2070000670,2070000670,0.0,0.0,8352.4,8352.4,2110177,M,0,0,1,0,21,27.83112728947116,12.0,36.10434842694203,34.46852671305339,0.9169965794957358,63.85312895572296,58.553100842498075
2070001170,0,2070001170,2070001170,0.0,0.0,1067.7,1067.8,2110178,M,0,0,0,1,22,12.737044839918928,12.0,36.1102687023826,35.7416666666667,0.9537205305388511,80.36994448728859,76.65046609579488
2070001180,0,2070001180,2070001180,0.0,0.0,600.4,600.4,2110179,M,0,0,1,0,23,10.234107374338448,10.234107374338448,35.912410656037466,35.77832116021054,0.9594778084835387,73.77079339891151,70.78143918047951
2070001220,0,2070001220,2070001220,0.0,0.0,677.6,23748.1,2110181,M,0,0,0,1,24,41.3982020325182,12.0,36.074768790275144,36.15832333034942,0.8908883849470779,47.49522452441957,42.312943869258994
2070718810,2070001220,2070001220,2070001220,38.4,38.4,3896.5,16843.6,2110183,M,0,0,0,1,25,36.33187227643538,12.0,36.35118206047425,35.67500000000003,0.9001669599540012,103.76874464350861,93.4091954039902
2070718760,2070001220,2070001220,2070001220,38.4,38.4,6308.4,6308.4,2110182,M,0,0,0,2,26,25.015651281385,12.0,36.70229898871857,36.668324618869384,0.9230105350876013,48.108592796176474,44.40473797911037
2070734640,2070718810,2070001220,2070001220,213.1,213.1,910.0,910.0,2110184,M,0,0,0,2,27,11.986109434121737,11.986109434121737,36.80309574124236,35.4082697550456,0.9560155555026143,136.15263524227268,130.16403721428614
2070734670,2070718810,2070001220,2070001220,213.3,213.3,1067.3,12037.6,2110185,M,0,0,0,1,28,31.97773317949264,12.0,36.64560843858813,35.09408060709638,0.9085645110172674,89.95533582088551,81.73022570349693
2070738470,2070734670,2070001220,2070001220,247.3,247.3,2286.0,2286.0,2110186,M,0,0,0,2,29,17.009497171236625,12.0,37.24156562921435,34.941088867187524,0.9418812048196735,78.98168632439506,74.39136587391074
2070738540,2070734670,2070001220,2070001220,247.5,247.5,110.2,8684.2,2110187,M,0,0,0,1,30,28.246187641658267,12.0,36.85038143469956,35.03328637017147,0.9161310243912341,78.98168632439506,72.35757320051516
2070741220,2070738540,2070001220,2070001220,265.6,265.6,3329.0,3329.0,2110189,M,0,0,0,1,31,19.62102773200192,12.0,37.007258956292105,34.362500000000026,0.9353712183478339,63.85312895572296,59.72637902663593
2070741210,2070738540,2070001220,2070001220,265.6,265.6,5446.7,5446.7,2110188,M,0,0,0,2,32,23.65773825161528,12.0,36.63749942951823,34.49997490776912,0.9260083396157524,68.85505025892766,63.760350764428786
2070001230,0,2070001230,2070001230,0.0,0.0,1598.2,1598.2,2110190,M,0,0,1,0,33,14.846440340733473,12.0,36.13361242866918,36.506865946451846,0.9476435413026193,43.23382156510631,40.9702517720029
2070001320,0,2070001320,2070001320,0.0,0.0,936.9,936.9,2110310,M,0,0,1,0,34,12.119534526094194,12.0,35.704236764395304,36.8033148871528,0.9556167861696747,48.108592796176474,45.973378835027724
2070001360,0,2070001360,2070001360,0.0,0.0,3123.3,21248.7,2110321,M,0,0,0,1,35,39.68522145416342,12.0,35.877046558522785,37.07500000000003,0.89397149668253,41.51680239304192,37.11483797278053
2070703920,2070001360,2070001360,2070001360,139.4,139.4,1847.3,1847.3,2110322,M,0,0,0,2,36,15.686524528629596,12.0,35.96042759754354,37.51042921278215,0.9453582917975013,54.65356775228629,51.66720345094037
2070703990,2070001360,2070001360,2070001360,139.6,139.6,4015.1,16277.7,2110323,M,0,0,0,1,37,35.86310309647976,12.0,36.427020034504565,37.4416666666667,0.9010509824909727,54.65356775228629,49.24565091983451
2070695650,2070703990,2070001360,2070001360,275.9,275.9,3524.5,3524.5,2110324,M,0,0,0,2,38,20.05116289063258,12.0,37.00398411511388,37.45644582112634,0.9343369744528238,49.554234857150405,46.300353867754566
2070695560,2070703990,2070001360,2070001360,276.1,276.1,2892.9,8738.3,2110325,M,0,0,0,1,39,28.312925793558883,12.0,36.80422158847581,37.86990475124786,0.9159923250857567,48.61138878854025,44.52765904206267
2070683130,2070695560,2070001360,2070001360,370.9,370.9,1446.4,1446.4,2110326,M,0,0,0,2,40,14.293944991173351,12.0,36.65509266248685,38.12916666666669,0.9491842676315277,43.12771772748108,40.936151165778384
2070683090,2070695560,2070001360,2070001360,371.1,371.1,176.8,4398.9,2110327,M,0,0,0,1,41,21.812892717245855,12.0,37.02820651578827,38.18750000000002,0.9301966338762387,47.645164713473676,44.319371836952165
2070681950,2070683090,2070001360,2070001360,382.2,382.2,2210.4,2210.6,2110328,M,0,0,0,2,42,16.794085984055954,12.0,37.39353739678597,38.31666666666669,0.9424381416818114,62.3219665757864,58.734598365640096
2070681870,2070683090,2070001360,2070001360,382.4,382.4,2011.9,2011.9,2110329,M,0,0,0,1,43,16.203653136285023,12.0,36.82206658165798,38.46593475341799,0.9439826104858827,62.3219665757864,58.83085269882477
2070001370,0,2070001370,2070001370,0.0,0.0,874.4,874.4,2110330,M,0,0,1,0,44,11.805716937204686,11.805716937204686,35.20850146727772,36.71458333333336,0.956331871745299,43.0954841231775,41.21358499528815
2070001450,0,2070001450,2070001450,0.0,0.0,25.1,20750.1,2110341,M,0,0,0,1,45,39.32875361152826,12.0,34.945131163910474,36.75325826009117,0.8946198026272775,43.23382156510631,38.67783291539834
2070711050,2070001450,2070001450,2070001450,7.5,7.5,626.6,19984.8,2110343,M,0,0,0,1,46,38.77112794517183,12.0,35.348752405037075,36.929024929470515,0.8956387265099147,48.108592796176474,43.087918786151555
2070711000,2070001450,2070001450,2070001450,7.5,7.5,740.1,740.3,2110342,M,0,0,0,2,47,11.081982351792254,11.081982351792254,35.12500000000002,36.96250000000002,0.9576834336566071,47.16308206642907,45.16730237520614
2070705850,2070711050,2070001450,2070001450,92.6,92.6,3765.3,3765.5,2110344,M,0,0,0,2,48,20.56151529701628,12.0,34.748013100165224,37.52016703287764,0.9331221876245939,46.67885458826432,43.557074909211515
2070705740,2070711050,2070001450,2070001450,92.8,92.8,2429.2,15592.8,2110345,M,0,0,0,1,49,35.28203859136839,12.0,35.34817328650729,37.422411685519776,0.9021532132447787,50.04493290147448,45.14819702368455
2070694900,2070705740,2070001450,2070001450,193.8,193.8,4402.4,4402.4,2110346,M,0,0,0,2,50,21.81948618259235,12.0,36.16049154529179,38.11875000000002,0.9301814091297668,46.10356251411269,42.884676745279634
2070694750,2070705740,2070001450,2070001450,194.0,194.0,4398.2,8761.8,2110347,M,0,0,0,1,51,28.341835758693524,12.0,35.695849287315625,38.106117841932544,0.915932283079097,47.87445642396297,43.84976017357114
2070674810,2070694750,2070001450,2070001450,369.7,369.7,3277.2,3277.2,2110349,M,0,0,0,1,52,19.504446438893595,12.0,36.5927082986702,38.841264173719644,0.9356532272410515,58.302320268568685,54.550754114927656
2070674730,2070694750,2070001450,2070001450,369.9,369.9,1086.3,1086.3,2110348,M,0,0,0,2,53,12.820454617013098,12.0,36.06232782485033,38.73671993679473,0.9534691191527522,62.07776545659512,59.189232348870895
2070001460,0,2070001460,2070001460,0.0,0.0,6788.5,6788.5,2110350,M,0,0,1,0,54,25.722700549588573,12.0,34.38141049957951,36.866310628255235,0.9214757383432803,43.23382156510631,39.83891764810797
2070001720,0,2070001720,2070001720,0.0,0.0,1274.7,10385.2,2110361,M,0,0,0,1,55,30.232924395922943,12.0,33.66726726537742,36.454024929470506,0.9120561367694999,50.72877373186932,46.26748939294282
2070715730,2070001720,2070001720,2070001720,68.9,68.9,278.9,8280.3,2110363,M,0,0,0,1,56,27.73958865563725,12.0,33.441950919130974,36.56380445692277,0.917188162858919,50.72877373186932,46.52783078321901
2070715740,2070001720,2070001720,2070001720,68.9,68.9,845.4,845.4,2110362,M,0,0,0,2,57,11.655372608670518,11.655372608670518,33.71790908225485,36.716900804307755,0.956601344184808,52.17465192821208,49.91034216690216
2070714270,2070715730,2070001720,2070001720,89.8,89.8,166.9,4431.2,2110365,M,0,0,0,1,58,21.873617995412935,12.0,33.347947456176996,36.65628848605688,0.9300564877889299,47.49522452441957,44.17324170792831
2070714260,2070715730,2070001720,2070001720,90.0,90.0,3571.1,3571.1,2110364,M,0,0,0,2,59,20.1514951283076,12.0,32.81024806672809,36.62696041531035,0.9340971146642663,50.72877373186932,47.38560117339555
2070712630,2070714270,2070001720,2070001720,100.9,100.9,675.6,675.6,2110366,M,0,0,0,2,60,10.70346942904753,10.70346942904753,33.50201985933802,36.818679640028236,0.9584520312755983,49.96023575615228,47.88448944349193
2070712480,2070714270,2070001720,2070001720,101.1,101.1,2199.5,3588.7,2110367,M,0,0,0,1,61,20.189177589283247,12.0,32.89626690511015,36.962783643934486,0.9340071618647495,51.46843004659543,48.071882273454996
2070706290,2070712480,2070001720,2070001720,203.6,203.6,679.8,679.8,2110368,M,0,0,0,2,62,10.728706145803091,10.728706145803091,32.5384168971536,36.90883416069881,0.9583992714659957,50.739948081453356,48.629129275487344
2070706230,2070712480,2070001720,2070001720,203.7,203.7,709.7,709.7,2110369,M,0,0,0,1,63,10.90563442762868,10.90563442762868,32.28750331398377,37.047916666666694,0.9580356093416502,50.20399380078394,48.09721379231847
2070001730,0,2070001730,2070001730,0.0,0.0,553.9,553.9,2110371,M,0,0,1,0,64,9.925363663463697,9.925363663463697,33.71451226269852,36.24985826280384,0.9602046834574818,72.56445824265366,69.67673265715091
2070001760,0,2070001760,2070001760,0.0,0.0,551.1,551.2,2110372,M,0,0,0,1,65,9.906950859787736,9.906950859787736,33.49542973408745,36.281437174479194,0.9602495128827834,72.4919713451448,69.61038017208799
2070001770,0,2070001770,2070001770,0.0,0.0,4103.3,4103.3,2110373,M,0,0,1,0,66,21.243846373342183,12.0,32.37083333333335,36.37291666666668,0.9315179567475231,103.76874464350861,96.66244898457663
2070002010,0,2070002010,2070002010,0.0,0.0,993.9,993.9,2110374,M,0,0,0,1,67,12.394606168581936,12.0,32.09270835329184,36.800000000000026,0.9547642013488764,50.72877373186932,48.43401713751607
2070002020,0,2070002020,2070002020,0.0,0.0,39.9,39.9,2110375,M,0,0,1,0,68,3.652684904383612,3.652684904383612,31.614584232566493,36.70208333333336,1.0,41.155241393115304,41.155241393115304
2070002030,0,2070002030,2070002030,0.0,0.0,598.3,598.3,2110376,M,0,0,0,1,69,10.220490303149399,10.220490303149399,31.818950156203037,36.84848988850914,0.9595089290002116,48.5383065824001,46.57293856436264
2070002040,0,2070002040,2070002040,0.0,0.0,97.2,97.3,2110377,M,0,0,1,0,70,5.12537196145199,5.12537196145199,31.522837555258704,36.768324618869386,1.0,42.53328931138949,42.53328931138949
2070002050,0,2070002050,2070002050,0.0,0.0,1768.4,1768.4,2110378,M,0,0,0,1,71,15.428478576854623,12.0,31.55607254937648,37.040934753418,0.9460533287692409,47.49522452441957,44.933015261969615
2070002060,0,2070002060,2070002060,0.0,0.0,214.2,214.2,2110379,M,0,0,1,0,72,6.917575482154788,6.917575482154788,31.30875949397675,36.85206434461808,0.9728821304435136,48.56793101402398,47.250872196157246
