HYBAS_ID,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,PFAF_ID,SIDE,LAKE,ENDO,COAST,ORDER,SORT,t_lag_h,D_test_h,D_ddf_h,cen_x,cen_y,arf,thr_pt,thr_mm
2060000360,0,2060000360,2060000360,0.0,0.0,21302.7,21302.7,211017,M,0,0,1,0,7,39.72351556509919,12.0,12.0,35.70673596310798,33.71556142171238,0.893901991515241,45.258031608843865,40.456244587205255
2060001220,0,2060001220,2060001220,0.0,0.0,24861.6,24861.6,211018,M,0,0,0,1,8,42.125353454084376,12.0,12.0,36.580981428611295,35.48130789862742,0.8895953091611245,132.63148776948103,117.98834936679138
2060001230,0,2060001230,2060001230,0.0,0.0,1598.2,1598.2,211019,M,0,0,1,0,9,14.846440340733473,12.0,12.0,36.13361242866918,36.506865946451846,0.9476435413026193,43.142355082273326,40.883574150300554
2060001320,0,2060001320,2060001320,0.0,0.0,936.9,936.9,211031,M,0,0,1,0,10,12.119534526094194,12.0,12.0,35.704236764395304,36.8033148871528,0.9556167861696747,47.13980957042259,45.04759332233771
2060001360,0,2060001360,2060001360,0.0,0.0,21248.7,21248.7,211032,M,0,0,0,1,11,39.68522145416342,12.0,12.0,36.7347268880751,37.642581007215746,0.89397149668253,48.65625720355986,43.49730707523654
2060001370,0,2060001370,2060001370,0.0,0.0,874.4,874.4,211033,M,0,0,1,0,12,11.805716937204686,11.805716937204686,12.0,35.20850146727772,36.71458333333336,0.9566063060603341,43.142355082273326,41.27024892999677
2060001450,0,2060001450,2060001450,0.0,0.0,20750.5,20750.5,211034,M,0,0,0,1,13,39.32904170338448,12.0,12.0,35.81053792781283,37.96083585951067,0.8946192777212484,49.772782191751986,44.527690454562176
2060001460,0,2060001460,2060001460,0.0,0.0,6788.5,6788.5,211035,M,0,0,1,0,14,25.722700549588573,12.0,12.0,34.38141049957951,36.866310628255235,0.9214757383432803,43.142355082273326,39.75463350330578
2060001720,0,2060001720,2060001720,0.0,0.0,10903.5,10903.5,211036,M,0,0,0,1,15,30.7976487884236,12.0,12.0,33.12467398505224,36.764463127983966,0.9109174781331125,52.497509225752395,47.82089871219218
2060001730,0,2060001730,2060001730,0.0,0.0,9569.8,9569.8,211037,M,0,0,1,0,16,29.30796045085981,12.0,12.0,31.94940250973532,36.67100999620228,0.9139395874508648,59.86554521156445,54.71349169317831
2060002070,0,2060002070,2060002070,0.0,0.0,2637.3,2637.3,211038,M,0,0,0,1,17,17.959040616213116,12.0,12.0,31.186450416411304,37.37489802042646,0.9394648263841352,44.13415771696099,41.4624888171748
2060002080,0,2060002080,2060002080,0.0,0.0,363.8,363.8,211039,M,0,0,1,0,18,8.459999423332327,8.459999423332327,8.0,31.05575328071682,36.962358262803846,0.9637301557298547,44.18547477574195,42.58287448662335
2060002110,0,2060002110,2060002110,0.0,0.0,1.5,1.5,211051,M,0,0,1,0,19,1.0499223671866083,1.0499223671866083,1.0,30.936458333333356,36.85833333333336,1.0,21.134890398366466,21.134890398366466
2060002120,0,2060002120,2060002120,0.0,0.0,6306.9,6744.3,211052,M,0,0,0,1,20,25.658928937320532,12.0,12.0,30.727083333333354,37.677083333333364,0.9216134642235495,49.70930015192768,45.812760317146285
2069003840,2060002120,2060002120,2060002120,136.5,136.5,476.2,3309.4,211052,M,1,0,0,1,21,19.577049062171287,12.0,12.0,30.898151345961807,38.06798866694814,0.9354775161335228,40.974798833954615,38.33100303725863
2060002130,0,2060002130,2060002130,0.0,0.0,26168.2,26168.2,211053,M,0,0,1,0,22,42.9533036913436,12.0,12.0,29.433615020277937,36.89726630316843,0.888133996350456,132.63148776948103,117.7945332746158
2060002610,0,2060002610,2060002610,0.0,0.0,26581.9,26581.9,211054,M,0,0,0,1,23,43.21009259782181,12.0,12.0,29.08092847724487,38.012676662868955,0.8876831095526572,44.024624601113004,39.0799156628044
2060002620,0,2060002620,2060002620,0.0,0.0,7676.8,7676.8,211055,M,0,0,1,0,24,26.953241056137493,12.0,12.0,27.586072739839615,38.109112379286046,0.9188444590632358,65.7206506825621,60.387055725702645
2060002830,0,2060002830,2060002830,0.0,0.0,16758.9,16759.2,211056,M,0,0,0,1,25,36.26258478801148,12.0,12.0,28.186020826182933,38.633305358886744,0.9002973363055015,42.559049259826665,38.31579868431657
2060002840,0,2060002840,2060002840,0.0,0.0,17134.2,17134.2,211057,M,0,0,1,0,26,36.56880474148742,12.0,12.0,26.408315496357545,39.56246685451934,0.8997218807283383,81.21412334214541,73.07012379509831
