HYBAS_ID,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,PFAF_ID,SIDE,LAKE,ENDO,COAST,ORDER,SORT,t_lag_h,D_test_h,D_ddf_h,cen_x,cen_y,arf,thr_pt,thr_mm
2080000660,0,2080000660,2080000660,0.0,0.0,2177.5,2177.5,21101760,M,0,0,0,1,103,16.69808285378625,12.0,12.0,35.72494272042694,33.57542546590172,0.9426874552698911,44.01659869468857,41.49389541313197
2080000670,0,2080000670,2080000670,0.0,0.0,3082.3,3082.3,21101771,M,0,0,1,0,104,19.05526416546629,12.0,12.0,35.65826888923191,33.894486914740696,0.9367467705081102,46.948894184171934,43.979225005950056
2080000870,0,2080000870,2080000870,0.0,0.0,524.7,524.7,21101772,M,0,0,0,1,105,9.723188690042889,9.723188690042889,10.0,35.965438536146905,34.333206176757834,0.9611321251710014,52.84452517751805,50.790570787520416
2080000880,0,2080000880,2080000880,0.0,0.0,743.4,743.4,21101773,M,0,0,1,0,106,11.0995936809688,11.0995936809688,11.0,36.093745123534376,34.487500000000026,0.9575009749260681,60.61939781935345,58.0431325114621
2080000950,0,2080000950,2080000950,0.0,0.0,1033.3,1033.3,21101774,M,0,0,0,1,107,12.57907054208707,12.0,12.0,36.21472084294021,34.65885416666669,0.9541996530055803,69.7738949867183,66.5782263851744
2080000960,0,2080000960,2080000960,0.0,0.0,680.7,680.7,21101775,M,0,0,1,0,108,10.734101427762866,10.734101427762866,11.0,36.041667054828366,34.814621141221814,0.9587801199199295,70.50032441552395,67.59430949750998
2080001010,0,2080001010,2080001010,0.0,0.0,344.5,344.6,21101776,M,0,0,0,1,109,8.287476562865855,8.287476562865855,8.0,36.095563326575785,34.96816253662112,0.964674371323057,64.15643231524801,61.89006601004213
2080001020,0,2080001020,2080001020,0.0,0.0,31.8,31.8,21101777,M,0,0,1,0,110,3.3509258288007686,3.3509258288007686,3.0,35.910158821011436,34.978163486056886,1.0,44.674298632409915,44.674298632409915
2080001030,0,2080001030,2080001030,0.0,0.0,359.8,359.8,21101778,M,0,0,0,1,111,8.424531332644978,8.424531332644978,8.0,36.08957090452278,35.05318857828779,0.9639214030700584,64.85589772727309,62.51598793464129
2080001040,0,2080001040,2080001040,0.0,0.0,1551.9,1551.9,21101779,M,0,0,1,0,112,14.681510093487384,12.0,12.0,36.075073982142115,35.31875000000008,0.9481001523894741,111.11120892114212,105.34455411031354
